Date,Centre_Name,Commodity_Name,Price
11-01-2013,JODHPUR,Potato,NA
11-01-2013,KOTA,Potato,7
11-01-2013,PATNA,Potato,13
11-01-2013,BHAGALPUR,Potato,8
11-01-2013,RANCHI,Potato,NA
11-01-2013,BHUBANESHWAR,Potato,12
11-01-2013,CUTTACK,Potato,12
11-01-2013,SAMBALPUR,Potato,12
11-01-2013,KOLKATA,Potato,10
11-01-2013,SILIGURI,Potato,10
11-01-2013,PORT BLAIR,Potato,24
11-01-2013,ITANAGAR,Potato,NA
11-01-2013,GUWAHATI,Potato,12
11-01-2013,SHILLONG,Potato,18
11-01-2013,AIZWAL,Potato,NA
11-01-2013,DIMAPUR,Potato,20
11-01-2013,AGARTALA,Potato,17
11-01-2013,VIJAYWADA,Potato,15
11-01-2013,BENGALURU,Potato,21
11-01-2013,DHARWAD,Potato,15
11-01-2013,T.PURAM,Potato,NA
11-01-2013,ERNAKULAM,Potato,NA
11-01-2013,KOZHIKODE,Potato,NA
11-01-2013,PUDUCHERRY,Potato,20
11-01-2013,CHENNAI,Potato,20
11-01-2013,DINDIGUL,Potato,25
11-01-2013,THIRUCHIRAPALLI,Potato,19
11-01-2013,HYDERABAD,Potato,18
14-01-2013,CHANDIGARH,Potato,9
14-01-2013,DELHI,Potato,10
14-01-2013,HISAR,Potato,9
14-01-2013,KARNAL,Potato,10
14-01-2013,SHIMLA,Potato,10
14-01-2013,MANDI,Potato,16
14-01-2013,SRINAGAR,Potato,20
14-01-2013,JAMMU,Potato,15
14-01-2013,AMRITSAR,Potato,10
14-01-2013,LUDHIANA,Potato,NA
14-01-2013,BATHINDA,Potato,NA
14-01-2013,LUCKNOW,Potato,NA
14-01-2013,KANPUR,Potato,NA
14-01-2013,VARANASI,Potato,NA
14-01-2013,AGRA,Potato,NA
14-01-2013,DEHRADUN,Potato,10
14-01-2013,RAIPUR,Potato,16
14-01-2013,PANAJI,Potato,NA
14-01-2013,AHMEDABAD,Potato,NA
14-01-2013,RAJKOT,Potato,NA
14-01-2013,BHOPAL,Potato,NA
14-01-2013,INDORE,Potato,15
14-01-2013,GWALIOR,Potato,NA
14-01-2013,JABALPUR,Potato,NA
14-01-2013,MUMBAI,Potato,16
14-01-2013,NAGPUR,Potato,15
14-01-2013,JAIPUR,Potato,NA
14-01-2013,JODHPUR,Potato,12
14-01-2013,KOTA,Potato,NA
14-01-2013,PATNA,Potato,13
14-01-2013,BHAGALPUR,Potato,8
14-01-2013,RANCHI,Potato,NA
14-01-2013,BHUBANESHWAR,Potato,12
14-01-2013,CUTTACK,Potato,12
14-01-2013,SAMBALPUR,Potato,12
14-01-2013,KOLKATA,Potato,10
14-01-2013,SILIGURI,Potato,10
14-01-2013,PORT BLAIR,Potato,NA
14-01-2013,ITANAGAR,Potato,NA
14-01-2013,GUWAHATI,Potato,NA
14-01-2013,SHILLONG,Potato,NA
14-01-2013,AIZWAL,Potato,30
14-01-2013,DIMAPUR,Potato,20
14-01-2013,AGARTALA,Potato,17
14-01-2013,VIJAYWADA,Potato,NA
14-01-2013,BENGALURU,Potato,NA
14-01-2013,DHARWAD,Potato,NA
14-01-2013,T.PURAM,Potato,NA
14-01-2013,ERNAKULAM,Potato,NA
14-01-2013,KOZHIKODE,Potato,NA
14-01-2013,PUDUCHERRY,Potato,NA
14-01-2013,CHENNAI,Potato,NA
14-01-2013,DINDIGUL,Potato,NA
14-01-2013,THIRUCHIRAPALLI,Potato,NA
14-01-2013,HYDERABAD,Potato,NA
15-01-2013,CHANDIGARH,Potato,9
15-01-2013,DELHI,Potato,10
15-01-2013,HISAR,Potato,9
15-01-2013,KARNAL,Potato,10
15-01-2013,SHIMLA,Potato,10
15-01-2013,MANDI,Potato,16
15-01-2013,SRINAGAR,Potato,NA
15-01-2013,JAMMU,Potato,15
15-01-2013,AMRITSAR,Potato,10
15-01-2013,LUDHIANA,Potato,10
15-01-2013,BATHINDA,Potato,8
15-01-2013,LUCKNOW,Potato,10
15-01-2013,KANPUR,Potato,8
15-01-2013,VARANASI,Potato,10
15-01-2013,AGRA,Potato,8
15-01-2013,DEHRADUN,Potato,10
15-01-2013,RAIPUR,Potato,16
15-01-2013,PANAJI,Potato,NA
15-01-2013,AHMEDABAD,Potato,NA
15-01-2013,RAJKOT,Potato,NA
15-01-2013,BHOPAL,Potato,15
15-01-2013,INDORE,Potato,15
15-01-2013,GWALIOR,Potato,NA
15-01-2013,JABALPUR,Potato,14
15-01-2013,MUMBAI,Potato,18
15-01-2013,NAGPUR,Potato,15
15-01-2013,JAIPUR,Potato,10
15-01-2013,JODHPUR,Potato,12
15-01-2013,KOTA,Potato,7
15-01-2013,PATNA,Potato,13
15-01-2013,BHAGALPUR,Potato,10
15-01-2013,RANCHI,Potato,NA
15-01-2013,BHUBANESHWAR,Potato,12
15-01-2013,CUTTACK,Potato,12
15-01-2013,SAMBALPUR,Potato,12
15-01-2013,KOLKATA,Potato,10
15-01-2013,SILIGURI,Potato,10
15-01-2013,PORT BLAIR,Potato,NA
15-01-2013,ITANAGAR,Potato,15
15-01-2013,GUWAHATI,Potato,NA
15-01-2013,SHILLONG,Potato,18
15-01-2013,AIZWAL,Potato,30
15-01-2013,DIMAPUR,Potato,20
15-01-2013,AGARTALA,Potato,17
15-01-2013,VIJAYWADA,Potato,17
15-01-2013,BENGALURU,Potato,20
15-01-2013,DHARWAD,Potato,15
15-01-2013,T.PURAM,Potato,27
15-01-2013,ERNAKULAM,Potato,24
15-01-2013,KOZHIKODE,Potato,23
15-01-2013,PUDUCHERRY,Potato,NA
15-01-2013,CHENNAI,Potato,NA
15-01-2013,DINDIGUL,Potato,NA
15-01-2013,THIRUCHIRAPALLI,Potato,NA
15-01-2013,HYDERABAD,Potato,18
16-01-2013,CHANDIGARH,Potato,9
16-01-2013,DELHI,Potato,10
16-01-2013,HISAR,Potato,9
16-01-2013,KARNAL,Potato,10
16-01-2013,SHIMLA,Potato,10
16-01-2013,MANDI,Potato,16
16-01-2013,SRINAGAR,Potato,20
16-01-2013,JAMMU,Potato,15
16-01-2013,AMRITSAR,Potato,10
16-01-2013,LUDHIANA,Potato,NA
16-01-2013,BATHINDA,Potato,8
16-01-2013,LUCKNOW,Potato,10
16-01-2013,KANPUR,Potato,8
16-01-2013,VARANASI,Potato,10
16-01-2013,AGRA,Potato,8
16-01-2013,DEHRADUN,Potato,10
16-01-2013,RAIPUR,Potato,16
16-01-2013,PANAJI,Potato,NA
16-01-2013,AHMEDABAD,Potato,18
16-01-2013,RAJKOT,Potato,12
16-01-2013,BHOPAL,Potato,15
16-01-2013,INDORE,Potato,15
16-01-2013,GWALIOR,Potato,NA
16-01-2013,JABALPUR,Potato,14
16-01-2013,MUMBAI,Potato,18
16-01-2013,NAGPUR,Potato,15
16-01-2013,JAIPUR,Potato,10
16-01-2013,JODHPUR,Potato,12
16-01-2013,KOTA,Potato,7
16-01-2013,PATNA,Potato,13
16-01-2013,BHAGALPUR,Potato,10
16-01-2013,RANCHI,Potato,NA
16-01-2013,BHUBANESHWAR,Potato,NA
16-01-2013,CUTTACK,Potato,NA
16-01-2013,SAMBALPUR,Potato,NA
16-01-2013,KOLKATA,Potato,10
16-01-2013,SILIGURI,Potato,NA
16-01-2013,PORT BLAIR,Potato,24
16-01-2013,ITANAGAR,Potato,NA
16-01-2013,GUWAHATI,Potato,12
16-01-2013,SHILLONG,Potato,18
16-01-2013,AIZWAL,Potato,NA
16-01-2013,DIMAPUR,Potato,20
16-01-2013,AGARTALA,Potato,17
16-01-2013,VIJAYWADA,Potato,17
16-01-2013,BENGALURU,Potato,NA
16-01-2013,DHARWAD,Potato,NA
16-01-2013,T.PURAM,Potato,27
16-01-2013,ERNAKULAM,Potato,24
16-01-2013,KOZHIKODE,Potato,23
16-01-2013,PUDUCHERRY,Potato,NA
