state,date,rainfall,price
kerala,17-01-2013,3.9,25
kerala,17-01-2013,3.9,23
puducherry,17-01-2013,,
tamil nadu,17-01-2013,3.9,20
tamil nadu,17-01-2013,3.9,25
,17-01-2013,,19
telangana,17-01-2013,2.4,18
chandigarh,18-01-2013,,
,18-01-2013,,10
haryana,18-01-2013,21.1,
haryana,18-01-2013,21.1,
himachal pradesh,18-01-2013,79.9,
himachal pradesh,18-01-2013,79.9,
jammu kashmir,18-01-2013,,
jammu kashmir,18-01-2013,,
punjab,18-01-2013,9.3,10
punjab,18-01-2013,9.3,
punjab,18-01-2013,9.3,
uttar pradesh,18-01-2013,6.1,10
,18-01-2013,,8
uttar pradesh,18-01-2013,6.1,10
uttar pradesh,18-01-2013,6.1,10
uttarakhand,18-01-2013,73,
chhattisgarh,18-01-2013,2.8,16
,18-01-2013,,
gujarat,18-01-2013,0,18
gujarat,18-01-2013,0,12
madhya pradesh,18-01-2013,1.7,15
madhya pradesh,18-01-2013,1.7,15
madhya pradesh,18-01-2013,1.7,
madhya pradesh,18-01-2013,1.7,14
,18-01-2013,,18
maharashtra,18-01-2013,0.1,15
rajasthan,18-01-2013,1.4,
rajasthan,18-01-2013,1.4,
rajasthan,18-01-2013,1.4,7
bihar,18-01-2013,5.1,
bihar,18-01-2013,5.1,
jharkhand,18-01-2013,1.1,
,18-01-2013,,
odisha,18-01-2013,,
odisha,18-01-2013,,
west bengal,18-01-2013,2.5,10
,18-01-2013,,10
,18-01-2013,,24
,18-01-2013,,15
,18-01-2013,,12
,18-01-2013,,18
,18-01-2013,,
nagaland,18-01-2013,,20
,18-01-2013,,16
,18-01-2013,,18
,18-01-2013,,20
karnataka,18-01-2013,2.4,18
,18-01-2013,,27
kerala,18-01-2013,3.9,25
kerala,18-01-2013,3.9,24
puducherry,18-01-2013,,22
tamil nadu,18-01-2013,3.9,20
tamil nadu,18-01-2013,3.9,25
,18-01-2013,,19
telangana,18-01-2013,2.4,18
chandigarh,21-01-2013,,
,21-01-2013,,11
haryana,21-01-2013,21.1,9
haryana,21-01-2013,21.1,10
himachal pradesh,21-01-2013,79.9,10
himachal pradesh,21-01-2013,79.9,
jammu kashmir,21-01-2013,,20
jammu kashmir,21-01-2013,,14
punjab,21-01-2013,9.3,9
punjab,21-01-2013,9.3,10
punjab,21-01-2013,9.3,
uttar pradesh,21-01-2013,6.1,10
,21-01-2013,,8
uttar pradesh,21-01-2013,6.1,10
uttar pradesh,21-01-2013,6.1,10
uttarakhand,21-01-2013,73,
chhattisgarh,21-01-2013,2.8,16
,21-01-2013,,
gujarat,21-01-2013,0,18
gujarat,21-01-2013,0,13
madhya pradesh,21-01-2013,1.7,15
madhya pradesh,21-01-2013,1.7,15
madhya pradesh,21-01-2013,1.7,15
madhya pradesh,21-01-2013,1.7,15
,21-01-2013,,22
maharashtra,21-01-2013,0.1,15
rajasthan,21-01-2013,1.4,10
rajasthan,21-01-2013,1.4,14
rajasthan,21-01-2013,1.4,
bihar,21-01-2013,5.1,13
bihar,21-01-2013,5.1,8
jharkhand,21-01-2013,1.1,
,21-01-2013,,
odisha,21-01-2013,,
odisha,21-01-2013,,
west bengal,21-01-2013,2.5,10
,21-01-2013,,10
,21-01-2013,,24
,21-01-2013,,
,21-01-2013,,12
,21-01-2013,,18
,21-01-2013,,
nagaland,21-01-2013,,20
,21-01-2013,,17
,21-01-2013,,19
,21-01-2013,,20
karnataka,21-01-2013,2.4,18
,21-01-2013,,27
kerala,21-01-2013,3.9,25
kerala,21-01-2013,3.9,24
puducherry,21-01-2013,,20
tamil nadu,21-01-2013,3.9,20
tamil nadu,21-01-2013,3.9,25
,21-01-2013,,19
telangana,21-01-2013,2.4,18
chandigarh,22-01-2013,,15
,22-01-2013,,11
haryana,22-01-2013,21.1,9
haryana,22-01-2013,21.1,10
himachal pradesh,22-01-2013,79.9,10
himachal pradesh,22-01-2013,79.9,10
jammu kashmir,22-01-2013,,20
jammu kashmir,22-01-2013,,16
punjab,22-01-2013,9.3,9
punjab,22-01-2013,9.3,10
punjab,22-01-2013,9.3,
uttar pradesh,22-01-2013,6.1,10
,22-01-2013,,8
uttar pradesh,22-01-2013,6.1,10
uttar pradesh,22-01-2013,6.1,10
uttarakhand,22-01-2013,73,10
chhattisgarh,22-01-2013,2.8,16
,22-01-2013,,
gujarat,22-01-2013,0,18
gujarat,22-01-2013,0,11
madhya pradesh,22-01-2013,1.7,15
madhya pradesh,22-01-2013,1.7,15
madhya pradesh,22-01-2013,1.7,
madhya pradesh,22-01-2013,1.7,15
,22-01-2013,,24
maharashtra,22-01-2013,0.1,15
rajasthan,22-01-2013,1.4,10
rajasthan,22-01-2013,1.4,12
rajasthan,22-01-2013,1.4,6
bihar,22-01-2013,5.1,13
bihar,22-01-2013,5.1,
jharkhand,22-01-2013,1.1,10
,22-01-2013,,13
odisha,22-01-2013,,12
odisha,22-01-2013,,12
west bengal,22-01-2013,2.5,10
,22-01-2013,,10
,22-01-2013,,
,22-01-2013,,
,22-01-2013,,12
,22-01-2013,,18
,22-01-2013,,
nagaland,22-01-2013,,20
,22-01-2013,,16
,22-01-2013,,17
,22-01-2013,,20
karnataka,22-01-2013,2.4,18
,22-01-2013,,27
kerala,22-01-2013,3.9,25
kerala,22-01-2013,3.9,24
puducherry,22-01-2013,,20
